,SHIP_NAME,WATER_BODY,CSN,STN_DATE,CODE,DEPTH_FROM,DETECTION,FLAG,VALUE,ABBREV,FULL_NAME,UNITS,LATITUDE_DD,LONGITUDE_DD
322477,CCGS LIMNOS,LAKE SUPERIOR,33,2008-05-11 01:32:00,100,0.0,0.0,,3.8,TEMP,TEMPERATURE (OF WATER),DEG C,46.74694,-90.70306
63860,CCGS LIMNOS,LAKE SUPERIOR,27,2003-05-20 01:55:00,100,0.0,,,2.9,TEMP,TEMPERATURE (OF WATER),DEG C,46.7475,-90.70333
135621,CCGS LIMNOS,LAKE SUPERIOR,27,2005-06-05 08:16:00,100,0.0,0.0,,11.3,TEMP,TEMPERATURE (OF WATER),DEG C,46.74806,-90.70472
111660,CCGS LIMNOS,LAKE SUPERIOR,26,2011-05-18 17:05:00,100,0.0,0.0,,6.2,TEMP,TEMPERATURE (OF WATER),DEG C,46.74806,-90.70389
245096,CCGS LIMNOS,LAKE SUPERIOR,33,2019-09-12 00:00:00,100,0.0,,,14.5,TEMP,TEMPERATURE (OF WATER),DEG C,46.74806,-90.70389
34616,CCGS LIMNOS,LAKE SUPERIOR,32,2016-08-08 06:39:00,100,0.0,,,21.0,TEMP,TEMPERATURE (OF WATER),DEG C,46.74833,-90.70333
174124,CCGS LIMNOS,LAKE SUPERIOR,23,2013-05-18 05:48:00,100,0.0,0.0,,4.6,TEMP,TEMPERATURE (OF WATER),DEG C,46.74833,-90.70306
5317,CCGS LIMNOS,LAKE SUPERIOR,20,2001-05-13 16:11:00,100,0.0,,,7.6,TEMP,TEMPERATURE (OF WATER),DEG C,46.74833,-90.70278
79278,CCGS LIMNOS,LAKE SUPERIOR,23,2001-08-21 11:11:00,100,0.0,,,19.9,TEMP,TEMPERATURE (OF WATER),DEG C,46.74861,-90.70333
329862,CCGS LIMNOS,LAKE SUPERIOR,7,2005-10-01 08:17:00,100,0.0,0.0,,12.6,TEMP,TEMPERATURE (OF WATER),DEG C,46.74861,-90.70306
242410,CCGS LIMNOS,LAKE SUPERIOR,14,2011-07-30 15:58:00,100,0.0,0.0,,20.5,TEMP,TEMPERATURE (OF WATER),DEG C,46.74861,-90.70278
101081,CCGS LIMNOS,LAKE SUPERIOR,31,2008-09-22 02:16:00,100,0.0,0.0,,15.4,TEMP,TEMPERATURE (OF WATER),DEG C,46.74889,-90.70389
306526,CCGS LIMNOS,LAKE SUPERIOR,24,2011-05-17 18:50:00,100,0.0,0.0,,4.0,TEMP,TEMPERATURE (OF WATER),DEG C,46.74972,-91.6825
228017,CCGS LIMNOS,LAKE SUPERIOR,31,2019-09-11 00:00:00,100,0.0,,,7.0,TEMP,TEMPERATURE (OF WATER),DEG C,46.74972,-91.67528
136979,CCGS LIMNOS,LAKE SUPERIOR,16,2011-07-31 03:27:00,100,0.0,0.0,,19.5,TEMP,TEMPERATURE (OF WATER),DEG C,46.75,-91.6825
146904,CCGS LIMNOS,LAKE SUPERIOR,27,2013-05-18 16:40:00,100,0.0,0.0,,3.6,TEMP,TEMPERATURE (OF WATER),DEG C,46.75,-91.67528
288301,CCGS LIMNOS,LAKE SUPERIOR,30,2008-05-10 17:02:00,100,0.0,0.0,,6.5,TEMP,TEMPERATURE (OF WATER),DEG C,46.75,-91.675
191261,CCGS LIMNOS,LAKE SUPERIOR,29,2008-09-21 18:17:00,100,0.0,0.0,,7.5,TEMP,TEMPERATURE (OF WATER),DEG C,46.75,-91.67417
292069,CCGS LIMNOS,LAKE SUPERIOR,35,2016-08-08 17:11:00,100,0.0,,,22.0,TEMP,TEMPERATURE (OF WATER),DEG C,46.75,-91.67417
234179,CCGS LIMNOS,LAKE SUPERIOR,23,2011-05-17 06:27:00,100,0.0,0.0,,5.0,TEMP,TEMPERATURE (OF WATER),DEG C,46.77222,-92.04417
115657,CCGS LIMNOS,LAKE SUPERIOR,19,2011-07-31 08:29:00,100,0.0,0.0,,17.8,TEMP,TEMPERATURE (OF WATER),DEG C,46.77639,-92.05083
251131,CCGS LIMNOS,LAKE SUPERIOR,10,2005-10-01 23:01:00,100,0.0,0.0,,14.6,TEMP,TEMPERATURE (OF WATER),DEG C,46.77944,-92.05333
145489,CCGS LIMNOS,LAKE SUPERIOR,28,2013-05-18 19:42:00,100,0.0,0.0,,3.5,TEMP,TEMPERATURE (OF WATER),DEG C,46.78139,-92.05389
262149,CCGS LIMNOS,LAKE SUPERIOR,29,2019-09-11 00:00:00,100,0.0,,,10.0,TEMP,TEMPERATURE (OF WATER),DEG C,46.78139,-92.05361
9436,CCGS LIMNOS,LAKE SUPERIOR,28,2008-05-10 14:22:00,100,0.0,0.0,,4.0,TEMP,TEMPERATURE (OF WATER),DEG C,46.78167,-92.05444
